Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
standard-pipette-tips-10-ul,,,,,,,,,"Racked, Sterile, 96/box x 10",,,4001S,907.18474,shopify,39,deny,manual,29.25,TRUE,TRUE,,,,,,
standard-pipette-tips-10-ul,,,,,,,,,"Refill, 96/refill x 10",,,4001RF,907.18474,shopify,40,deny,manual,19.95,TRUE,TRUE,,,,,,
standard-pipette-tips-200-ul,"200 µl Pipette Tips, RNase/DNase/Endotoxin-Free","<p class=""MsoNormal"">Our pipette tips are engineered for all universal pipettes to fit snuggly for<span> </span><span>any discrete sampling procedure.  </span>Our Tips are crafted to provide exceptional precision and free of RNase, PCR inhibitors, endotoxins, and pyrogens.  </p>
<p class=""MsoNormal""><b>Features</b></p>
<ul type=""disc"">
<li class=""MsoNormal"">Designed for optimal performance engineered for universal pipettes</li>
<li class=""MsoNormal"">Certified Free of RNase, DNase, PCR Inhibitors, Endotoxins, and Pyrogens</li>
<li class=""MsoNormal"">100k clean room facility with automated manufacturing</li>
</ul>",laguna scientific,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes,simple,"pipette tips, liquid handling",TRUE,Format,"Bulk, 1000/bag",,,4005,907.18474,shopify,50,deny,manual,14.95,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/files/Unipet-Tips-range.012818.jpg?v=1731522871,1,"200 µl Pipette Tips, RNase/DNase/Endotoxin-Free","200 µl Pipette Tips, RNase/DNase/Endotoxin-Free | Laguna Scientific","200 µl Pipette Tips, RNase/DNase/Endotoxin-Free from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
standard-pipette-tips-200-ul,,,,,,,,,"Racked, 96/box x 10",,,4006,907.18474,shopify,20,deny,manual,23.50,TRUE,TRUE,,,,,,
standard-pipette-tips-200-ul,,,,,,,,,"Racked, Sterile, 96/box x 10",,,4006RS,11339.80925,shopify,17,deny,manual,30.95,TRUE,TRUE,,,,,,
standard-pipette-tips-200-ul,,,,,,,,,"Refill, 96/refill x 10",,,4006RF,907.18474,shopify,10,deny,manual,19.50,TRUE,TRUE,,,,,,
standard-pipette-tips-1000-ul,"1000 µl Pipette Tips, RNase/DNase-Free","<p class=""MsoNormal"">Our pipette tips are engineered for all universal pipettes to fit snuggly for<span> </span><span>any discrete sampling procedure.  </span>Our Tips are crafted to provide exceptional precision and free of RNase, PCR inhibitors, endotoxins, and pyrogens.  </p>
<p class=""MsoNormal""><b>Features</b></p>
<ul type=""disc"">
<li class=""MsoNormal"">Designed for optimal performance engineered for universal pipettes</li>
<li class=""MsoNormal"">Certified Free of RNase, DNase, PCR Inhibitors, Endotoxins, and Pyrogens</li>
<li class=""MsoNormal"">100k clean room facility with automated manufacturing</li>
</ul>",laguna scientific,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes,simple,"pipette tips, liquid handling",TRUE,Format,"Bulk, 1000/bag",,,4010,907.18474,shopify,50,deny,manual,19.20,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/products/pipettetips_2_3e32f171-d979-4608-a9a4-0a73f6e26464.jpg?v=1681336661,1,"1000 µl Pipette Tips, RNase/DNase-Free","1000 µl Pipette Tips, RNase/DNase-Free | Laguna Scientific","1000 µl Pipette Tips, RNase/DNase-Free from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
standard-pipette-tips-1000-ul,,,,,,,,,"Racked, 96/box x 10",,,4011,1133.980925,shopify,27,deny,manual,25.25,TRUE,TRUE,,,,,,
standard-pipette-tips-1000-ul,,,,,,,,,"Racked, Sterile, 96/box x 10",,,4011S,1133.980925,shopify,5,deny,manual,33.25,TRUE,TRUE,,,,,,
standard-pipette-tips-1000-ul,,,,,,,,,"Refill, 96/refill x 10",,,4011RF,907.18474,shopify,30,deny,manual,26.95,TRUE,TRUE,,,,,,
filter-pipette-tips-sterile-racked,"Filter Pipette Tips, Sterile, Racked, 96/box x 10","<p class=""MsoNormal""><strong>Low Retention, Sterile, Racked Filter pipette</strong> <strong>tips</strong> are engineered for all universal pipettes to fit snuggly for any discrete sampling procedure.  The Filter tips protect both your sample from pipette-born contaminants and your pipette from aerosols, vapors, and liquid splashing.</p>
<p class=""MsoNormal"">Our Tips are crafted to provide exceptional precision and free of DNase, RNase, PCR inhibitors, endotoxins, and pyrogens.  Our refills are cost-effective and reduces plastic waste over traditional tip racks.</p>
<p class=""MsoNormal""><b>Features</b></p>
<ul>
<li style=""list-style-type: none;"">
<ul type=""disc"">
<li class=""MsoNormal"">Designed for optimal performance engineered for universal pipettes</li>
<li class=""MsoNormal"">Certified Free of RNase, DNase, PCR Inhibitors, Endotoxins, and Pyrogens</li>
<li class=""MsoNormal"">100k clean room facility with automated manufacturing<br>
</li>
<li class=""MsoNormal"">Specially developed PE filters stop aerosols contamination from getting into pipette and thus lessens the risk of cross-contamination</li>
</ul>
</li>
</ul>",laguna scientific,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes,simple,"pipette tips, filter tips, liquid handling",TRUE,Volume,10 µl,,,4001S,907.18474,shopify,20,deny,manual,49.25,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/products/Filter_tip200_NSS.012818_58aec403-f47b-4391-b8fc-ee000ceea0e4.jpg?v=1522714270,1,"Filter Pipette Tips, Sterile, Racked, 96/box x 10","Filter Pipette Tips, Sterile, Racked, 96/box x 10 | Laguna Scientific","Filter Pipette Tips, Sterile, Racked, 96/box x 10 from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
filter-pipette-tips-sterile-racked,,,,,,,,,200 µl,,,4026,907.18474,shopify,15,deny,manual,50.25,TRUE,TRUE,,,,,,
filter-pipette-tips-sterile-racked,,,,,,,,,1000 µl,,,4030,1814.36948,shopify,25,deny,manual,59.25,TRUE,TRUE,,,,,,
lts-pipette-tips-low-retention-sterile,"LTS-Compatible Pipette Tips, Low Retention, Sterile","<p class=""MsoNormal"" style=""margin-bottom: 0in;"">Non-filter Low‑retention pipette tips are engineered for Rainin® LTS® style pipettes to fit snuggly for any discrete sampling procedure.  The Filter tips protect both your sample from pipette-born contaminants and your pipette from aerosols, vapors, and liquid splashing.</p>
<p class=""MsoNormal"" style=""margin-bottom: 0in;""> </p>
<p class=""MsoNormal"" style=""margin-bottom: 0in;""><b>Features</b></p>
<ul style=""margin-top: 0in;"" type=""disc"">
<li class=""MsoNormal"" style=""margin-bottom: 0in; mso-list: l0 level1 lfo1; tab-stops: list .5in;"">Designed for optimal performance engineered for Rainin® LTS® style pipettes</li>
<li class=""MsoNormal"" style=""margin-bottom: 0in; mso-list: l0 level1 lfo1; tab-stops: list .5in;"">Certified Free of RNase, DNase, PCR Inhibitors, Endotoxins, and Pyrogens</li>
<li class=""MsoNormal"" style=""margin-bottom: 0in; mso-list: l0 level1 lfo1; tab-stops: list .5in;"">100k clean room facility with automated manufacturing</li>
</ul>",laguna scientific,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes,simple,"pipette tips, LTS, liquid handling",TRUE,Volume,20 µl,,,4002-LTS,1360.77711,shopify,10,deny,manual,59.95,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/products/Unipet-Tips-range.012818_a77f47d8-d7e2-4f94-9cb2-9ae2dc30aea5.jpg?v=1522715449,1,"LTS-Compatible Pipette Tips, Low Retention, Sterile","LTS-Compatible Pipette Tips, Low Retention, Sterile | Laguna Scientific","LTS-Compatible Pipette Tips, Low Retention, Sterile from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
lts-pipette-tips-low-retention-sterile,,,,,,,,,200 µl,,,4006-LTS,1360.77711,shopify,10,deny,manual,59.95,TRUE,TRUE,,,,,,
lts-pipette-tips-low-retention-sterile,,,,,,,,,1000 µl,,,4011-LTS,1360.77711,shopify,50,deny,manual,65.95,TRUE,TRUE,,,,,,
lts-filter-pipette-tips-low-retention-sterile,"LTS-Compatible Filter Pipette Tips, Low Retention, Sterile","<p class=""MsoNormal"" style=""margin-bottom: 0in;"">Low‑retention Filter tips, engineered for Rainin® LTS® style pipettes, protect both your sample from pipette-born contaminants and your pipette from aerosols, vapors, and liquid splashing.</p>
<p class=""MsoNormal"" style=""margin-bottom: 0in;""> </p>
<p class=""MsoNormal"" style=""margin-bottom: 0in;"">Our low‑retention Filter Tips are crafted to provide exceptional precision and free of RNase, PCR inhibitors, endotoxins, and pyrogens.</p>
<p class=""MsoNormal"" style=""margin-bottom: 0in;""><b> </b></p>
<p class=""MsoNormal"" style=""margin-bottom: 0in;""><b>Features</b></p>
<ul style=""margin-top: 0in;"" type=""disc"">
<li class=""MsoNormal"" style=""margin-bottom: 0in; mso-list: l0 level1 lfo1; tab-stops: list .5in;"">Designed for optimal performance engineered for Rainin® LTS® style pipettes</li>
<li class=""MsoNormal"" style=""margin-bottom: 0in; mso-list: l0 level1 lfo1; tab-stops: list .5in;"">Certified Free of RNase, DNase, PCR Inhibitors, Endotoxins, and Pyrogens</li>
<li class=""MsoNormal"" style=""margin-bottom: 0in; mso-list: l0 level1 lfo1; tab-stops: list .5in;"">100k clean room facility with automated manufacturing</li>
<li class=""MsoNormal"" style=""margin-bottom: 0in; mso-list: l0 level1 lfo1; tab-stops: list .5in;"">Specially developed PE filters stop aerosols contamination from getting into pipette and thus lessens the risk of cross-contamination</li>
</ul>",laguna scientific,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes,simple,"pipette tips, LTS, filter tips, liquid handling",TRUE,Volume,10 µl,,,4020,1360.77711,,1,deny,manual,72.95,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/files/lts_tips_75932865-7798-4c43-867f-38a47c6d0b09.jpg?v=1743803721,1,"LTS-Compatible Filter Pipette Tips, Low Retention, Sterile","LTS-Compatible Filter Pipette Tips, Low Retention | Laguna Scientific","LTS-Compatible Filter Pipette Tips, Low Retention, Sterile from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
lts-filter-pipette-tips-low-retention-sterile,,,,,,,,,20 µl,,,4020-LTS,1360.77711,shopify,49,deny,manual,65.95,TRUE,TRUE,,,,,,
