Variant SKU,Handle,_title,Variant Price
H1000-MR-T600,copy-of-tube-rack-for-h1000-mr-15x50ml-max-3,"Rack for H1000-MR, 4x500/600ml bottle, max. 1",149.0
H1000-MR-T600,h1000-mr-t600,"MAGic Clamp™ Tube Rack, 4x500ml or 600ml conical bottles",187.04
H1000-MR-T600,copy-of-tube-rack-for-h1000-mr-15x50ml-max-8,"Bottle Rack for H1000-MR, 4x500/600ml bottle, max. 4",149.0
H1000-MR-T600,copy-of-tube-rack-for-h1000-mr-15x50ml-max-2,"BENCHMARK Rack for H1000-MR, 4x500/600ml bottle, max. 1",149.0
H1000-MR-TSR,h1000-mr-tsr,MAGic Clamp™ tilted holder for 15mL and 50mL tube racks,122.08
H1000-MR-TSR,copy-of-tube-rack-12x1-5ml-horizontal-max-2,"Angled tube rack holder, adjustable tilt (max. 1)",89.0
H1000-P-MP,h1000-p-mp,"Dedicated Platform, holds 4 standard micro plates",713.59
H1000-P-MP,copy-of-incushaker-mini-shaking-incubator-with-flat-mat-platform,4 x microplate platform,469.0
H1000-P-SP,copy-of-4-x-microplate-platform,Spring platform for unique vessel types,479.0
H1000-P-SP,copy-of-magic-clamp™-universal-platform-for-flasks-and-tube-racks-9-5-x-11-5,Spring platform for unique vessel types,469.0
H1010-MR,h1010-mr,"MAGic Clamp™ Universal Platform 18 x 18"" (for flasks/tubes)",368.48
H1010-MR,magic-clamp-universal-platform-for-flasks-and-tube-racks-18-x-18-in,MAGIc Clamp universal platform for flasks and tube racks (18 x 18 in.),299.0
H1010-P-MP,h1010-p-mp,"Platform, holds 6 standard micro plates",805.28
H1010-P-MP,copy-of-spring-platform-for-unique-vessel-types,6 x microplate platform,599.0
H1010-P-SP,h1010-p-sp,Universal Spring Platform,621.6
H1010-P-SP,copy-of-magic-clamp-universal-platform-for-flasks-and-tube-racks-18-x-18-in,Spring platform for unique vessel types,499.0
H1010-SH,h1010-sh,"Shelf, 14 x 5.5"" for Petri dishes, plates, trays, etc.",141.12
H1010-SH,copy-of-6-x-microplate-platform,"Optional shelf, 14 x 5,5"" for Petri dishes, microplates, etc",112.5
H5000-12,h5000-12,"Block, 24 x 12 mm (200-1200 rom/Ambi.-10°C to 100°C)",440.16
H5000-12,copy-of-block-35-x-2-0ml,"Block, 24 x 12mm (Max. speed: 1200 rpm)",409.0
H5000-150,h5000-150,"Block, 12 x 15 ml (200-750 rpm/Ambi.-10°C to 100°C)",440.16
H5000-150,copy-of-block-24-x-12mm-max-speed-1200-rpm,"Block, 12 x 15ml (Max speed: 750 rpm)",409.0
T5000-96,thermal-cycler,TC 9639 Gradient Thermal Cycler,653460.0
T5000-96,thermal-cycler,TC 9639 Gradient Thermal Cycler,7605.0
