Handle,Title,Product Category
b4000-28-220,BioClave 28 Research Sterilizer 28L 200-240V,
b3d-stack-d,"Stacking platform, small 10.5""x7.5"" with dimpled mat (3.0"" separation)",
b3d-stack,"Stacking platform, small 10.5""x7.5"" with dimpled mat (3.0"" separation)",
b3d-flat,"Flat Mat, small 10.5"" x 7.5""",
b3d-dimpled,"Dimpled Mat, small 10.5"" x 7.5""",
b3d5000-stk,Optional Stacking Platform with Flat Mat (4.5” clearance),
b3d5000-dimp,Optional dimpled mat for use with a variety of tubes,
b3d5000,"BenchWaver™ 3D Rocker with 13.5x13"" flat mat platform",Uncategorized
b3d1020,"MiniMixer™ 3D Nutating Shaker, fixed speed 10""x7.5"" platform, dimpled mat, 115V",
b2000-8-t500,Tube rack for 30 x 50 ml tubes,
b2000-8-t150,Tube rack for 76 x 15 ml tubes,
b2000-8,B2000-8,Uncategorized
b2000-4-t500,Tube rack for 15 x 50 ml tubes,
b2000-4-t5,Tube rack for 40 x 0.5 ml tubes,
b2000-4-t1520,Tube rack for 48 x 1.5/2.0 ml tubes,
b2000-2,MyBath 2L Digital Water Bath,
b2000-12,myBath 12L Digital Water Bath,
b1450-sh-uv,Optional/Extra UV Transparent Shelf,
b1450-sh,Optional/Extra UV Transparent Shelf,
b1450-iss,"UV-C Indicator Stickers, 0.5x0.5"", for UV Clave",
b1201-group,B1201-GROUP,
b1001-xl,BactiZapper Tilt MicroSterilizer with Adjustable Tilt Angle,
b1001-group,B1001-GROUP,
b1001,Benchmark Scientific BactiZapper TILT Micro-Sterilizer with adjustable tilt angle,
b1000-ra,"Heating Element, 115 voltage",
copy-of-block-24-x-12mm-max-speed-1200-rpm,"Block, 12 x 15ml (Max speed: 750 rpm)",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-block-35-x-2-0ml,"Block, 24 x 12mm (Max. speed: 1200 rpm)",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-tube-rack-12x1-5ml-horizontal-max-3,"Tube Rack, 4x15ml horizontal, max. 4",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-tube-rack-for-h1000-mr-15x50ml-max-3,"Rack for H1000-MR, 4x500/600ml bottle, max. 1",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-tube-rack-for-h1000-mr-32x15ml-max-3,"Tube Rack for H1000-MR, 15x50ml, max. 2",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-tube-rack-for-h1000-mr-30x15ml-20x50ml-max-1,"Tube Rack for H1000-MR, 32x15ml, max. 2",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-clamp-for-1-x-microplate-for-h1000-mr-max-5,"Tube Rack for H1000-MR, 30x15ml & 20x50ml, max. 1",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-flask-clamp-for-h1000-mr-500ml-max-6,"Flask clamp for H1000-MR, 1000ml max. 2",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-flask-clamp-for-h1000-mr-50ml-max-21,"Flask clamp for H1000-MR, 125ml, max.12",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-dedicated-platform-for-5-x-500ml-flasks,Optional CO2 regulator,Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-magic-clamp™-universal-platform-for-flasks-and-tube-racks-9-5-x-11-5,Spring platform for unique vessel types,Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-tube-rack-12x1-5ml-horizontal-max-2,"Angled tube rack holder, adjustable tilt (max. 1)",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-tube-rack-for-h1000-mr-15x50ml-max-2,"BENCHMARK Rack for H1000-MR, 4x500/600ml bottle, max. 1",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-incu-shaker-mini-with-flat-mat-platform,"Tube Rack for H1000-MR, 32x15ml, max. 2",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-flask-clamp-for-h1000-mr-250ml-max-8,"Flask clamp for H1000-MR, 500ml, max. 5",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-flask-clamp-for-h1000-mr-125ml-max-12,"Flask clamp for H1000-MR, 250ml, max. 8",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-flask-clamp-for-h1000-mr-25ml-max-20,"Flask clamp for H1000-MR, 50ml, max. 20",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-adjustable-flask-clamp-accepts-125ml-250ml-500ml-max-5x500-8x250-or-12x125ml,"Flask clamp for H1000-MR, 25ml, max.20",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-spring-platform-for-unique-vessel-types-1,"ADJUSTABLE flask clamp, accepts 125ml, 250ml & 500ml (max. 5x500, 8x250 or 12x125ml)",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-4-x-microplate-platform,Spring platform for unique vessel types,Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-incushaker-mini-shaking-incubator-with-flat-mat-platform,4 x microplate platform,Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-tube-rack-4x15ml-horizontal-max-8,"Tube Rack, 2x50ml horizontal, max. 8",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-tube-rack-12x1-5ml-horizontal-max-6,"Tube Rack, 4x15ml horizontal, max. 8",Business & Industrial > Science & Laboratory > Laboratory Equipment
